is_doh,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fazzel,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,10351,11601,55,40,95,1.1207612791034682,1.375,7488.806,210.9272727272728,258.775,0.11342155009451795,9131.918367346942,196.0,221.0,0.69,4995.711310344827,7263.698,0,0,1.0,0.3533771288194537,2,5,9
True,707,540,6,6,12,0.7637906647807637,1.0,7676.64,90.0,117.83333333333331,379.0,7419.1875,72.0,111.0,0.016,4388.238857142857,7675.298000000002,0,0,1.0,-0.03475650988788125,2,-1,-1
True,7512,1530,9,13,22,0.2036741214057508,0.6923076923076923,108.608,170.0,577.8461538461537,33340.666666666664,250043.75,381.0,1194.0,31.06,52.9424,76.148,0,0,1.0,0.0,-1,0,-4
True,1080,822,9,9,18,0.7611111111111111,1.0,8787.689999999999,91.33333333333331,120.0,490.0,8762.333333333334,71.5,105.0,0.17600000000000002,3196.4701818181816,8780.493999999999,0,0,1.0,0.12155009561010065,4,-3,-1
True,120,237,4,3,7,1.975,1.3333333333333333,15.272,59.25,40.0,56.25,0.0,38.5,0.0,0.23,0.23,0.23,0,0,1.0,0.0,0,0,0
True,5379,816,8,8,16,0.1517010596765198,1.0,161.864,102.0,672.375,15226.888888888892,268705.44,126.0,1430.0,49.8,65.25571428571429,97.07,0,0,0.75,0.0,0,-1,1
True,7176,1681,12,11,23,0.2342530657748049,1.0909090909090908,317.42,140.08333333333334,652.3636363636364,35069.555555555555,225137.8367346939,228.0,1208.0,31.396,128.44488888888887,218.62599999999998,0,0,1.0,0.2753457517690097,-1,0,-3
True,585,596,8,5,13,1.0188034188034187,1.6,12.306,74.5,117.0,169.0,4323.6875,69.0,90.5,0.21,3.3777142857142857,5.8660000000000005,0,0,1.0,0.474889933266413,2,1,-3
True,978,860,5,4,9,0.8793456032719836,1.25,170.852,172.0,244.5,67600.0,36481.0,324.0,403.0,37.484,45.98666666666667,54.236,0,0,1.0,0.0,0,0,0
True,1389,1036,12,12,24,0.7458603311735061,1.0,10156.896,86.33333333333331,115.75,182.25,6890.234375,69.5,108.0,0.1,5422.472800000001,10155.884,0,0,1.0,0.9861676926517781,1,0,-1
True,3954,1534,11,23,34,0.3879615579160344,0.4782608695652174,10660.506000000001,139.45454545454547,171.91304347826087,6495.9375,39612.96,113.5,68.0,10604.51,10621.19609090909,10650.71,0,0,1.0,0.8626634018209373,5,-6,-6
True,5339,1033,7,7,14,0.1934819254542049,1.0,68.992,147.57142857142858,762.7142857142858,0.0,4.6875,517.0,1208.0,31.916,31.92,31.924,0,0,1.0,0.0,0,0,0
